Time,Amplitude
0.666,-0.05295433638867757
0.668,-0.045595810047007794
0.67,-0.050399001596740996
0.672,-0.06458709424625941
0.674,-0.07469278636869034
0.676,-0.07009579561370231
0.678,-0.05473817883249773
0.68,-0.041731064050017384
0.682,-0.04180372224869148
0.684,-0.05216005254580902
0.686,-0.065832560549083
0.688,-0.07269142367717345
0.69,-0.07067910249227422
0.692,-0.06546122569126459
0.694,-0.05902749639055654
0.696,-0.05647971319534142
0.698,-0.055737814349046975
0.7,-0.05896209076207193
0.702,-0.06311508839481535
0.704,-0.06533243175549712
0.706,-0.06208282247842138
0.708,-0.054228337738744074
0.71,-0.046168762315778496
0.712,-0.04614917445713576
0.714,-0.0532927523427136
0.716,-0.061511722679551226
0.718,-0.06127649433545635
0.72,-0.05020541269478008
0.722,-0.033216554512798466
0.724,-0.022207421118775755
0.726,-0.023447051684830002
0.728,-0.032625024592176886
0.73,-0.041475008179756176
0.732,-0.043805557463133867
0.734,-0.038635175150415195
0.736,-0.02995501443031236
0.738,-0.023521588947075147
0.74,-0.02237789050913874
0.742,-0.02372419641051667
0.744,-0.025679245486421153
0.746,-0.023233151555725657
0.748,-0.014027647477529385
0.75,0.0011074526609678088
0.752,0.01490101481483545
0.754,0.021836510721044342
0.756,0.017083950304461398
0.758,0.007260001252185923
0.76,0.00027241018013560137
0.762,0.002464684953057045
0.764,0.016540437646492264
0.766,0.03435809475667238
0.768,0.045982812592713945
0.77,0.04539026151234433
0.772,0.0368848004528531
0.774,0.027450799614870305
0.776,0.025492621931491953
0.778,0.03305400278172624
0.78,0.039957056018921834
0.782,0.03536946500290094
0.784,0.017314686366765954
0.786,-0.009614721450976298
0.788,-0.02996542417730521
0.79,-0.03434353875530275
0.792,-0.02744734170149229
0.794,-0.02004439408696267
0.796,-0.025392721666899463
0.798,-0.044220729280959055
0.8,-0.06777229108521618
0.802,-0.08222311623656355
0.804,-0.08181215078223185
0.806,-0.07044513112941696
0.808,-0.0599375851934331
0.81,-0.05780761767770841
0.812,-0.06593062703966399
0.814,-0.07780533594873168
0.816,-0.08507802002006715
0.818,-0.08331441056488448
0.82,-0.07317661446263969
0.822,-0.06166769800025504
0.824,-0.059393976067479544
0.826,-0.0699115879795252
0.828,-0.08757106677774075
0.83,-0.0999156296281737
0.832,-0.09607543405969651
0.834,-0.07894816871124259
0.836,-0.06001347845952855
0.838,-0.05439200235109136
0.84,-0.06842624077142946
0.842,-0.091404000627198
0.844,-0.10780580591987804
0.846,-0.10659297325227864
0.848,-0.08850640647940569
0.85,-0.06536647193069708
0.852,-0.05241912810297244
0.854,-0.058067607797067315
0.856,-0.07592534324956203
0.858,-0.09469177467827306
0.86,-0.1009280534487068
0.862,-0.09376809453319762
0.864,-0.08416784199321622
0.866,-0.08820569385309104
0.868,-0.1105202598935402
0.87,-0.1406789804282194
0.872,-0.15440879975559366
0.874,-0.13521210656678076
0.876,-0.08545982595527778
0.878,-0.02356128329418512
0.88,0.03133013450222583
0.882,0.0809126847168578
0.884,0.142605245735503
0.886,0.23511914728750855
0.888,0.3590171531889688
0.89,0.4935178581199886
0.892,0.6067752451184181
0.894,0.6822869266016597
0.896,0.7184752295910325
0.898,0.7232033964171365
0.9,0.7039767476952533
0.902,0.6592668884369666
0.904,0.5784356433059925
0.906,0.4531154930067784
0.908,0.2826265605136995
0.91,0.08341184073084475
0.912,-0.11520407976453072
0.914,-0.27704865753451924
0.916,-0.38182141415444115
0.918,-0.4295095952756415
0.92,-0.4414004101796949
0.922,-0.44378684277702485
0.924,-0.4434696492670282
0.926,-0.43262299408865795
0.928,-0.4026463859164912
0.93,-0.3553891997627427
0.932,-0.31090759243426264
0.934,-0.28602148756147083
0.936,-0.2820522619355641
0.938,-0.2823773578916855
0.94,-0.2708598014681965
0.942,-0.24162339757983892
0.944,-0.20405761634454478
0.946,-0.16942991524306256
0.948,-0.13950971982171448
0.95,-0.11504404617095129
0.952,-0.0927356500790381
0.954,-0.0772377435399665
0.956,-0.07151131580489092
0.958,-0.07301212454606774
0.96,-0.07400049147402975
0.962,-0.07149825374381563
0.964,-0.06863511108225688
0.966,-0.07109318741941922
0.968,-0.07829317781789288
0.97,-0.07958585796345291
0.972,-0.07027191504760666
0.974,-0.05228175651435035
0.976,-0.03436883868098599
0.978,-0.02674429433696735
0.98,-0.0328624290128918
0.982,-0.04312433453156899
0.984,-0.04956227360357898
0.986,-0.047192236600791505
0.988,-0.03780471579235162
0.99,-0.026505927330600178
0.992,-0.018390938753796483
0.994,-0.018222546217664167
0.996,-0.023877097060124662
0.998,-0.033972981162587505
1.0,-0.04046398622496835
1.002,-0.03812356089727185
1.004,-0.029633489069931192
1.006,-0.023143053994584686
1.008,-0.023744269008306142
1.01,-0.03133370300103589
1.012,-0.03646664044255493
1.014,-0.031444707568081535
1.016,-0.016254985780669487
1.018,-0.0025991312833631495
1.02,0.0010143464834803382
1.022,-0.008596624284595372
1.024,-0.02131833785477217
1.026,-0.02781973234348707
1.028,-0.023209766179380673
1.03,-0.011728740323717119
1.032,0.00026655808526676594
1.034,0.007058621435849897
1.036,0.006525145062339135
1.038,-0.00021701146549529682
1.04,-0.006744103973304817
1.042,-0.009945302299495215
1.044,-0.005194277409228725
1.046,0.005502309824454503
1.048,0.014175227817128527
1.05,0.012792829109119443
1.052,0.004050320945713331
1.054,-0.00386004767148086
1.056,-0.002595676999495474
1.058,0.011945137521845596
